time,keys,matches,errors
3799,k,0,0
3541,k,0,0
1128,j,1,0
1263,j,1,0
2532,j,1,0
716,j,1,0
2187,j,1,0
3833,k,0,0
3644,k,0,0
4178,k,0,0
