time,keys,matches,errors
1857,j,1,0
2367,k,0,0
1569,k,0,0
1775,k,0,0
2051,k,0,0
2567,k,0,0
2003,k,1,1
1304,j,1,0
1343,j,1,0
1069,j,1,0
